"类型","家族ID","家族阶段","2.5名称","当前名称","2.5弹速","修改前弹速","修改后弹速","当前家族总阶段数","状态"
"主武器","amplitude","1","异端审判","异端审判","30","30","30","6","原本一致"
"主武器","amplitude","2","正义追击","正义追击","30","30","30","6","原本一致"
"主武器","amplitude","3","最终归宿","最终归宿","30","30","30","6","原本一致"
"主武器","beelzebub","1","魔王专用","魔王专用","25","25","25","1","原本一致"
"主武器","cannon","1","野火","野火","25","25","25","4","原本一致"
"主武器","cannon","2","炽火","炽火","25","25","25","4","原本一致"
"主武器","cannon","3","灰烬","灰烬","25","25","25","4","原本一致"
"主武器","cannon","4","爆焱","爆焱","25","25","25","4","原本一致"
"主武器","charged","1","须佐","须佐","30","30","30","5","原本一致"
"主武器","charged","2","月读","月读","30","30","30","5","原本一致"
"主武器","charged","3","天照","天照","30","30","30","5","原本一致"
"主武器","charged","4","伊邪","伊邪","30","30","30","5","原本一致"
"主武器","charged","5","草雉","草雉","30","30","30","5","原本一致"
"主武器","Chipped_Baby","1","碎裂炮爆发","碎裂炮爆发","20","20","20","1","原本一致"
"主武器","dragonHead","1","龙之怒","龙之怒","25","25","25","1","原本一致"
"主武器","edge","1","战神之刃","战神之刃","30","30","30","1","原本一致"
"主武器","etcg","1","毁灭","毁灭","30","30","30","5","原本一致"
"主武器","etcg","2","湮灭","湮灭","30","30","30","5","原本一致"
"主武器","etcg","3","绝灭","绝灭","30","30","30","5","原本一致"
"主武器","etcg","4","幻灭","幻灭","30","30","30","5","原本一致"
"主武器","etcg","5","恒灭","恒灭","30","30","30","5","原本一致"
"主武器","fireFairy","1","火神炮一连装","火神炮一连装","30","30","30","4","原本一致"
"主武器","fireFairy","2","火神炮二连装","火神炮二连装","30","30","30","4","原本一致"
"主武器","fireFairy","3","火神炮三连装","火神炮三连装","30","30","30","4","原本一致"
"主武器","fireFairy","4","重型火神炮三连装","火神炮四连装","30","30","30","4","原本一致"
"主武器","induction","1","青龙","青龙","2","2","2","4","原本一致"
"主武器","induction","2","白虎","白虎","2","2","2","4","原本一致"
"主武器","induction","3","朱雀","朱雀","2","2","2","4","原本一致"
"主武器","induction","4","玄武","玄武","2","2","2","4","原本一致"
"主武器","induction_1","1","感应炮直线","感应炮直线",,,,"4","2.5无显式弹速-待处理"
"主武器","induction_1","2","感应炮直线","感应炮直线",,,,"4","2.5无显式弹速-待处理"
"主武器","induction_1","3","感应炮直线","感应炮直线",,,,"4","2.5无显式弹速-待处理"
"主武器","induction_1","4","感应炮直线","感应炮直线",,,,"4","2.5无显式弹速-待处理"
