"类型","分类","家族ID","家族阶段","3.4家族总阶段","当前家族总阶段","3.4名称","当前名称","3.4弹速","当前弹速","弹道类型","状态","建议批次"
"副武器","旧家族新增形态","flyBlade","5","5","6","灭世之手","灭世之手","50","50","bullet","已经一致",""
"副武器","旧家族新增形态","highEnergy","4","5","7","星穹","星穹","30","30","bullet","已经一致",""
"副武器","旧家族新增形态","highEnergy","5","5","7","星曜","星曜","30","30","bullet","已经一致",""
"副武器","旧家族新增形态","positron","4","5","6","奥德修斯","奥德修斯","40","40","bullet","已经一致",""
"副武器","旧家族新增形态","positron","5","5","6","喀戎","喀戎","40","40","bullet","已经一致",""
"副武器","旧家族新增形态","protonImpact","3","3","4","能量反冲","能量反冲","40","40","bullet","已经一致",""
"副武器","旧家族新增形态","snake","2","2","2","金蛇狂舞","金蛇狂舞","30","30","bullet","已经一致",""
"主武器","旧家族新增形态","amplitude","4","5","6","天启骑士","天启骑士","30","30","bullet","已经一致",""
"主武器","旧家族新增形态","amplitude","5","5","6","诸界黄昏","诸界黄昏","30","30","bullet","已经一致",""
"主武器","旧家族新增形态","microwave","4","5","5","最后轻语","最后轻语","35","35","bullet","已经一致",""
"主武器","旧家族新增形态","microwave","5","5","5","浩劫呼唤","浩劫呼唤","35","35","bullet","已经一致",""
"主武器","旧家族新增形态","phaseTransfer","3","3","6","苍穹","苍穹","25","25","bullet","已经一致",""
"主武器","旧家族新增形态","schoolArms","2","5","5","蛇蝎座MK2","蛇蝎座MK2","30","30","bullet","已经一致",""
"主武器","旧家族新增形态","schoolArms","3","5","5","蛇蝎座MK3","蛇蝎座MK3","30","30","bullet","已经一致",""
"主武器","旧家族新增形态","schoolArms","4","5","5","蛇蝎座MK4","蛇蝎座MK4","30","30","bullet","已经一致",""
"主武器","旧家族新增形态","schoolArms","5","5","5","蛇蝎座MK5","蛇蝎座MK5","30","30","bullet","已经一致",""
"主武器","全新家族","arc","1","1","1","斯巴达","斯巴达","30","30","bullet","已恢复到3.4","第1批-斯巴达"
"主武器","全新家族","conAquarius","1","1","1","水瓶座","水瓶座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conAries","1","1","1","白羊座","白羊座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conCancer","1","1","1","巨蟹座","巨蟹座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conCapricornus","1","1","1","摩羯座","摩羯座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conGemini","1","1","1","双子座","双子座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conLeo","1","1","1","狮子座","狮子座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conLibra","1","1","1","天秤座","天秤座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conPisces","1","1","1","双鱼座","双鱼座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conSagittarius","1","1","1","射手座","射手座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conScorpio","1","1","1","天蝎座","天蝎座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conTaurus","1","1","1","金牛座","金牛座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","conVirgo","1","1","1","处女座","处女座","35","35","","已恢复到3.4","第2批-十二星座"
"主武器","全新家族","flyLaser","1","1","1","变形后-激光","变形后-激光","","","laser","无显式弹速-一致",""
"主武器","全新家族","magneticTrack","1","2","5","恐惧镰刀","恐惧镰刀","40","40","bullet","已恢复到3.4","第3批-恐惧镰刀"
"主武器","全新家族","magneticTrack","2","2","5","恐惧先驱","恐惧先驱","40","40","bullet","已恢复到3.4","第3批-恐惧镰刀"
"主武器","全新家族","nuclearBomb","1","1","1","基洛夫","基洛夫","25","25","bullet","已经一致",""
