"类型","家族ID","阶段","名称","当前弹速","除以2.5目标","弹道类型","特殊标记"
"主武器","huangjinchongfengpao","1","死神MK1","75","30","bullet",""
"主武器","huangjinchongfengpao","2","死神MK2","75","30","bullet",""
"主武器","huangjinchongfengpao","3","死神MK3","75","30","bullet",""
"主武器","huangjinchongfengpao","4","死神MK4","75","30","bullet",""
"主武器","zhongxinglizipao","1","无情MK1","65","26","bullet",""
"主武器","zhongxinglizipao","2","无情MK2","65","26","bullet",""
"主武器","zhongxinglizipao","3","无情MK3","65","26","bullet",""
"主武器","zhongxinglizipao","4","无情MK4","65","26","bullet",""
"主武器","plasma","6","冈格尼尔","30","12","bullet","地面反弹"
"主武器","liebopao","1","无形MK1","85","34","bullet",""
"主武器","liebopao","2","无形MK2","85","34","bullet",""
"主武器","liebopao","3","无形MK3","85","34","bullet",""
"主武器","liebopao","4","无形MK4","85","34","bullet",""
"主武器","liebopao","5","无形MK5","85","34","bullet",""
"主武器","phaseTransfer","4","碎空","25","10","bullet","地面反弹"
"主武器","phaseTransfer","5","位面","25","10","bullet","地面反弹"
"主武器","phaseTransfer","6","位面MK2","25","10","bullet","地面反弹"
"主武器","zhenjipao","1","摄云MK1","60","24","bullet","回旋"
"主武器","zhenjipao","2","摄云MK2","60","24","bullet","回旋"
"主武器","zhenjipao","3","摄云MK3","60","24","bullet","回旋"
"主武器","zhenjipao","4","摄云MK4","60","24","bullet","回旋"
"主武器","zhenjipao","5","摄云MK5","60","24","bullet","回旋"
"主武器","guanchongpao","1","惩罚者MK1","85","34","bullet",""
"主武器","guanchongpao","2","惩罚者MK2","85","34","bullet",""
"主武器","guanchongpao","3","惩罚者MK3","85","34","bullet",""
"主武器","guanchongpao","4","惩罚者MK4","85","34","bullet",""
"主武器","guanchongpao","5","惩罚者MK5","85","34","bullet",""
"主武器","dianrepao","1","炼狱犬MK1","100","40","bullet","地面反弹"
"主武器","dianrepao","2","炼狱犬MK2","100","40","bullet","地面反弹"
"主武器","dianrepao","3","炼狱犬MK3","100","40","bullet","地面反弹"
"主武器","dianrepao","4","炼狱犬MK4","100","40","bullet","地面反弹"
"主武器","gaosipao","1","狂野之风MK1","85","34","bullet",""
"主武器","gaosipao","2","狂野之风MK2","85","34","bullet",""
"主武器","gaosipao","3","狂野之风MK3","85","34","bullet",""
"主武器","gaosipao","4","狂野之风MK4","85","34","bullet",""
"主武器","magneticTrack","3","炼狱使者","85","34","bullet",""
"主武器","magneticTrack","4","噬魂之指","85","34","bullet",""
"主武器","magneticTrack","5","灾变巨刃","85","34","bullet",""
"主武器","amplitude","6","诸界黄昏MK2","30","12","bullet","回旋"
"主武器","ioncanon","1","无畏","50","20","bullet","加速/限速"
"主武器","youdaodianjiangpao","1","疾风之翼MK1","70","28","bullet","追踪、回旋"
"主武器","youdaodianjiangpao","2","疾风之翼MK2","70","28","bullet","追踪、回旋"
"主武器","youdaodianjiangpao","3","疾风之翼MK3","60","24","bullet","追踪、回旋"
"主武器","youdaodianjiangpao","4","疾风之翼MK4","60","24","bullet","追踪、回旋"
"主武器","zhonglichongjipao","1","黑洞MK1","85","34","bullet",""
"主武器","zhonglichongjipao","2","黑洞MK2","85","34","bullet",""
"主武器","zhonglichongjipao","3","黑洞MK3","85","34","bullet",""
"主武器","zhonglichongjipao","4","黑洞MK4","85","34","bullet",""
"主武器","zhonglichongjipao","5","黑洞MK5","85","34","bullet",""
"主武器","zhonglichongjipao","6","黑洞MK6","85","34","bullet",""
"主武器","jujiaoguangshupao","1","幻影MK1","85","34","bullet",""
"主武器","jujiaoguangshupao","2","幻影MK2","85","34","bullet",""
"主武器","jujiaoguangshupao","3","幻影MK3","85","34","bullet",""
"主武器","jujiaoguangshupao","4","幻影MK4","85","34","bullet",""
"主武器","jujiaoguangshupao","5","幻影MK5","85","34","bullet",""
"主武器","snow","2","2014","30","12","bullet",""
"主武器","kaisazhilei","1","凯撒之泪","70","28","bullet","追踪"
"主武器","hanbingfengbao","1","寒冰风暴","70","28","bullet","追踪"
"主武器","lightlizhi","1","曙光荔枝","70","28","bullet",""
"主武器","tianqipao","1","战争MK1","70","28","bullet","追踪、回旋"
"主武器","tianqipao","2","战争MK2","70","28","bullet","追踪、回旋"
"主武器","tianqipao","3","战争MK3","70","28","bullet","追踪、回旋"
"主武器","tianqipao","4","战争MK4","70","28","bullet","追踪、回旋"
"主武器","tianqipao","5","战争MK5","70","28","bullet","追踪、回旋"
"主武器","protoncannon","1","铁骑MK1","70","28","bullet",""
"主武器","protoncannon","2","铁骑MK2","70","28","bullet",""
"主武器","HeavylaserPulse","1","传奇MK1","65","26","bullet",""
"主武器","HeavylaserPulse","2","传奇MK2","65","26","bullet",""
"主武器","HeavylaserPulse","3","传奇MK3","65","26","bullet",""
"主武器","HeavylaserPulse","4","传奇MK4","65","26","bullet",""
"主武器","Bodonglizipao","1","黑翼","55","22","bullet","追踪、回旋"
"主武器","Freezeweapon","1","冰雾","45","18","bullet",""
"主武器","Freezeweapon","2","冰雾MK2","45","18","bullet",""
"主武器","zzpao","1","衰变","45","18","bullet",""
"主武器","zzpao","2","衰变MK2","45","18","bullet",""
"主武器","baonengpao","1","DL-44","45","18","bullet",""
"主武器","baonengpao","2","DL-54","45","18","bullet",""
"主武器","shenfenpao","1","神风追击","25","10","bullet","追踪"
"主武器","tongbuzhizipao","1","死亡之咬","45","18","bullet",""
"副武器","qidonglipao","1","战吼","60","24","bullet","追踪、回旋"
"副武器","qidonglipao","2","破胆","60","24","bullet","追踪、回旋"
"副武器","qidonglipao","3","忿怒","60","24","bullet","追踪、回旋"
"副武器","qidonglipao","4","狂暴","60","24","bullet","追踪、回旋"
"副武器","cutter","6","深渊MK2","30","12","bullet","追踪、回旋"
"副武器","jiguangjishupao","1","寒光","60","24","bullet",""
"副武器","jiguangjishupao","2","冰蓝","60","24","bullet",""
"副武器","jiguangjishupao","3","碧月","60","24","bullet",""
"副武器","jiguangjishupao","4","幽骜","60","24","bullet",""
"副武器","jiguangjishupao","5","沧流","60","24","bullet",""
"副武器","protonImpact","4","闪电风暴","40","16","bullet",""
"副武器","flyBlade","6","诸神之殁","50","20","bullet",""
"副武器","positron","6","珀尔修斯","40","16","bullet",""
"副武器","highEnergy","6","星噬","30","12","bullet","追踪"
"副武器","highEnergy","7","星噬MK2","30","12","bullet","追踪"
"副武器","goldflyBlade","1","黄金恶魔牙","60","24","bullet",""
